"mention_id","mention_title","mention_text","mention_url","mention_creationdate","mention_sentiment","mention_deleted","source_url","author_nick","author_name","author_url","author_type","author_additiondate","author_modificationdate","author_readers","author_excluded","author_image","mention_image"
"http://vk.com/wall35079018_996","Шикарная корзина с Розами из конфет ферреро роше и <b>рафаэлло</b> с грузинским коньяком 0,75 5 звёзд, цена 4500 руб. http://c","Шикарная корзина с Розами из конфет ферреро роше и <b>рафаэлло</b> с грузинским коньяком 0,75 5 звёзд, цена 4500 руб. http://cs623228.vk.me/v623228018/366c8/GmiZpHd48Ds.jpg http://cs623228.vk.me/v623228018/366d2/SwnLChKJbHM.jpg http://cs623228.vk.me/v623228018/366dc/rT2vFKWrRt8.jpg http://cs623228.vk.me/v623228018/366e6/ruALyN-QB_c.jpg","http://vk.com/wall35079018_996","2015-06-05T18:37:15","0","0","vk.com","Margarita Narchuk","Маргарита Нарчук","http://vk.com/id35079018","2","2014-09-23T09:45:39.4100000","2015-05-06T17:19:00.7700000","363","0",NA,NA
"https://instagram.com/p/zmbcKtLUyz/","Опубликовано в Instagram","Сегодняшнее открытие! Интересные конфетки. В одной - 32ккал. Почти как в <b>рафаэлке</b>,но в разы полезней! ?? #пп #конфетки #диета #instafood","https://instagram.com/p/zmbcKtLUyz","2015-02-27T12:59:02","1","0","instagram.com","Katya Fortunata","Подписывайся! ↗↗↗ 😘","http://instagram.com/katyafortunata","2","2015-03-12T13:45:51.9830000","2015-03-12T13:45:11.0230000","35","0",NA,NA
"http://twitter.com/derpmaro86/statuses/591875433613897728","Мат - это как <b>рафаэлло</b>. Вместо тысячи слов...","Мат - это как <b>рафаэлло</b>. Вместо тысячи слов...","http://twitter.com/derpmaro86/statuses/591875433613897728","2015-04-25T11:04:34","0","1","twitter.com","derpmaro86","","http://twitter.com/derpmaro86","2","2014-02-03T01:09:55.9600000","2015-06-28T09:08:00.3400000","187","0","https://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png",NA
"http://www.facebook.com/338181093058703","

Кофе с Рафаэлло","

Кофе с Рафаэлло","http://www.facebook.com/photo.php?fbid=338181093058703","2015-03-08T07:50:35","0","0","facebook.com","100006004445426","Надя Маценко","http://www.facebook.com/profile.php?id=100006004445426","8","2014-02-08T08:05:37.9600000","2014-02-08T08:05:37.9600000","-1","0",NA,NA
"http://twitter.com/amazingheroin/statuses/577463021976608769","@neverov1965621 так. первая <b>рафаэлка</b> пошла нормально хд","@neverov1965621 так. первая <b>рафаэлка</b> пошла нормально хд","http://twitter.com/amazingheroin/statuses/577463021976608769","2015-03-16T16:34:47","1","0","twitter.com","alaska.","nobody likes me ( ͡° ͜ʖ ͡°) birthday - 19.06","http://twitter.com/amazingheroin","2","2015-02-27T11:48:07.5430000","2015-04-18T20:22:12.7970000","571","0",NA,NA
"http://twitter.com/tup_dub/statuses/608730989800624128","","@AlikhanovaNaya 29 <b>рафаэло</b> 1200 руб ??","http://twitter.com/tup_dub/statuses/608730989800624128","2015-06-10T23:22:32","0","0","twitter.com","Фома","","http://twitter.com/tup_dub","2","2015-06-07T00:29:28.7630000","2015-06-07T00:29:28.7630000","65","0","https://pbs.twimg.com/profile_images/562705754616897536/vdlmofhJ_normal.jpeg",NA
"https://instagram.com/p/0QzT1RAUCS/","Опубликовано в Instagram","Цветочные композиции с макарунами от @sloika_ и конфетки #<b>рафаэлло</b> ??O? таковым было пожелание клиентки, т.к.не знали любят ли макароны именинницы ??????да-да, видимо и так бывает ??не понимаю,как можно их не полюбить ??","https://instagram.com/p/0QzT1RAUCS","2015-03-15T23:55:43","-1","0","instagram.com","💐Айша💐8-929-874-90-05","Магазин ""ROMANTIC""скоро открытие❗️🎉Живые Цветы🌸Подарки💝Шары🎈розы от 90 руб🌹доставка по Дагестану🚗звонить☎️8-988-651-57-72 W/app📱8-929-874-90-05","http://instagram.com/rozaoptom","2","2015-03-01T08:17:46.9700000","2015-06-04T09:33:39.4700000","13477","0",NA,NA
"http://vk.com/wall181550862_1856","1.Саша 2.Коврыга 3.- 4.- 5.Русый тёмный 6.18 сентября 7.Шустрый ,шнурок 8.10 9.Думаю 35 10.Ярко-прекрасно-голубой 11.Ра","1.Саша 2.Коврыга 3.- 4.- 5.Русый тёмный 6.18 сентября 7.Шустрый ,шнурок 8.10 9.Думаю 35 10.Ярко-прекрасно-голубой 11.<b>Рафаэлло</b> 12.Спрайт??","http://vk.com/wall181550862_1856","2015-05-26T21:09:39","-1","0","vk.com","Ekaterina Kirillova","Ekaterina Kirillova","http://vk.com/id181550862","2","2014-11-21T09:09:46.6100000","2015-05-25T22:39:06.0130000","163","0",NA,NA
"http://vk.com/wall288144752_220","корзина с пионами из <b>рафаэлло</b> и шарлет) корзина пионов с <b>рафаэлло</b> и марсианкой, пародан возможен повтор.","корзина с пионами из <b>рафаэлло</b> и шарлет) корзина пионов с <b>рафаэлло</b> и марсианкой, пародан возможен повтор.","http://vk.com/wall288144752_220","2015-05-23T22:06:39","0","0","vk.com","Varvara Κornilova","Варвара Κорнилова","http://vk.com/id288144752","2","2015-04-16T22:18:21.3000000","2015-05-23T23:34:48.1630000","56","0",NA,NA
"http://vk.com/wall229790794_547","1.Дима😊 2.Кораблев😉 3.Денисович😇 4.Желтый и фиолетовый😜 5.Светлый😀 6.22 сентября )) 7.Дима Кораблев 😊 8.12 лет 😳 ","1.Дима?? 2.Кораблев?? 3.Денисович?? 4.Желтый и фиолетовый?? 5.Светлый?? 6.22 сентября )) 7.Дима Кораблев ?? 8.12 лет ?? 9. 40-41) 10. Голубые ?? 11.<b>Рафаэлло</b>?? 12.Сок ??????","http://vk.com/wall229790794_547","2015-06-04T09:26:04","-1","0","vk.com","Angelina Zayka","Ангелина Зайка","http://vk.com/id276557246","2","2015-06-03T10:15:37.4000000","2015-06-03T10:15:27.7830000","233","0","https://pp.vk.me/c624825/v624825246/28597/CrZHgo-jSWE.jpg",NA
